epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.313,1.06015,1.87416,0.84309,0.005,0.9931,0.01722,0.01099,0.92192,3.27816,0.80551,0.000653333,0.000653333,0.000653333
2,209.807,0.88418,0.96149,0.82777,1,0.86281,0.99375,0.79526,0.72489,1.66869,0.78446,0.0006666,0.0006666,0.0006666
